data2,data1,loggerUid,logDateTime,dateTime,PAR,control
32.75,40790,CDFB19377155,1690614000,29-07-2023 10:00:00,763.669,
33.13,45693,CDFB19377155,1690614600,29-07-2023 10:10:00,854.8648,
33.25,47485,CDFB19377155,1690615200,29-07-2023 10:20:00,888.196,
33.38,49228,CDFB19377155,1690615800,29-07-2023 10:30:00,920.6158,
33.56,50914,CDFB19377155,1690616400,29-07-2023 10:40:00,951.9754,
33.69,52380,CDFB19377155,1690617000,29-07-2023 10:50:00,979.243,
33.94,53640,CDFB19377155,1690617600,29-07-2023 11:00:00,1002.679,
34.13,54604,CDFB19377155,1690618200,29-07-2023 11:10:00,1020.6094,
34.25,55514,CDFB19377155,1690618800,29-07-2023 11:20:00,1037.5354,
34.38,56080,CDFB19377155,1690619400,29-07-2023 11:30:00,1048.063,
34.5,56494,CDFB19377155,1690620000,29-07-2023 11:40:00,1055.7634,
34.69,56758,CDFB19377155,1690620600,29-07-2023 11:50:00,1060.6738,
34.75,56853,CDFB19377155,1690621200,29-07-2023 12:00:00,1062.4408,
34.81,56753,CDFB19377155,1690621800,29-07-2023 12:10:00,1060.5808,
34.88,56635,CDFB19377155,1690622400,29-07-2023 12:20:00,1058.386,
34.94,56368,CDFB19377155,1690623000,29-07-2023 12:30:00,1053.4198,
35,55896,CDFB19377155,1690623600,29-07-2023 12:40:00,1044.6406,
35,55181,CDFB19377155,1690624200,29-07-2023 12:50:00,1031.3416,
35.19,54750,CDFB19377155,1690624800,29-07-2023 13:00:00,1023.325,
35.38,53594,CDFB19377155,1690625400,29-07-2023 13:10:00,1001.8234,
35.5,52678,CDFB19377155,1690626000,29-07-2023 13:20:00,984.7858,
35.44,51772,CDFB19377155,1690626600,29-07-2023 13:30:00,967.9342,
35.56,50611,CDFB19377155,1690627200,29-07-2023 13:40:00,946.3396,
35.56,49489,CDFB19377155,1690627800,29-07-2023 13:50:00,925.4704,
35.44,48541,CDFB19377155,1690628400,29-07-2023 14:00:00,907.8376,
35.56,47100,CDFB19377155,1690629000,29-07-2023 14:10:00,881.035,
35.56,45723,CDFB19377155,1690629600,29-07-2023 14:20:00,855.4228,
35.63,44184,CDFB19377155,1690630200,29-07-2023 14:30:00,826.7974,
35.75,42613,CDFB19377155,1690630800,29-07-2023 14:40:00,797.5768,
35.69,40818,CDFB19377155,1690631400,29-07-2023 14:50:00,764.1898,
35.56,39418,CDFB19377155,1690632000,29-07-2023 15:00:00,738.1498,
35.44,37563,CDFB19377155,1690632600,29-07-2023 15:10:00,703.6468,
35.31,35792,CDFB19377155,1690633200,29-07-2023 15:20:00,670.7062,
35.44,33972,CDFB19377155,1690633800,29-07-2023 15:30:00,636.8542,
35.44,32074,CDFB19377155,1690634400,29-07-2023 15:40:00,601.5514,
35.44,29815,CDFB19377155,1690635000,29-07-2023 15:50:00,559.534,
35.5,27925,CDFB19377155,1690635600,29-07-2023 16:00:00,524.38,
35.31,25522,CDFB19377155,1690636200,29-07-2023 16:10:00,479.6842,
35.38,23265,CDFB19377155,1690636800,29-07-2023 16:20:00,437.704,
35.19,21417,CDFB19377155,1690637400,29-07-2023 16:30:00,403.3312,
35.19,19545,CDFB19377155,1690638000,29-07-2023 16:40:00,368.512,
35.31,17752,CDFB19377155,1690638600,29-07-2023 16:50:00,335.1622,
35.44,15947,CDFB19377155,1690639200,29-07-2023 17:00:00,301.5892,
35.44,14220,CDFB19377155,1690639800,29-07-2023 17:10:00,269.467,
35.44,12592,CDFB19377155,1690640400,29-07-2023 17:20:00,239.1862,
35.44,10935,CDFB19377155,1690641000,29-07-2023 17:30:00,208.366,
35.38,9421,CDFB19377155,1690641600,29-07-2023 17:40:00,180.2056,
35.38,7981,CDFB19377155,1690642200,29-07-2023 17:50:00,153.4216,
